INSERT INTO [scPessoa].[Telefone_Pessoa] (codigo_pais, codigo_area, telefone)
VALUES
('94', '30', '30962562'),
('9', '54', '22239264'),
('95', '70', '19902727'),
('79', '20', '64523144'),
('89', '40', '35878828'),
('88', '26', '68268043'),
('99', '87', '80359590'),
('62', '43', '60173505'),
('87', '91', '33134564'),
('13', '84', '25878721'),
('71', '52', '12753870'),
('28', '53', '11734920'),
('10', '87', '68828500'),
('18', '17', '54755563'),
('40', '96', '84231702'),
('6', '16', '72281960'),
('45', '29', '81495317'),
('80', '8', '96833962'),
('27', '78', '63269824'),
('96', '9', '62374645'),
('8', '40', '45434805'),
('2', '12', '82373993'),
('97', '80', '37083726'),
('76', '60', '48004825'),
('43', '99', '35771262'),
('75', '7', '19758252'),
('43', '67', '23031887'),
('86', '39', '43189405'),
('58', '18', '82649270'),
('43', '17', '95987502'),
('96', '63', '53620519'),
('95', '67', '53591020'),
('49', '72', '71989270'),
('70', '28', '65907019'),
('93', '15', '46258563'),
('1', '41', '56130797'),
('99', '64', '76192609'),
('23', '45', '19587902'),
('70', '58', '81582287'),
('37', '87', '25134882'),
('43', '14', '16284999'),
('87', '63', '85948319'),
('51', '31', '41868512'),
('96', '17', '21650973'),
('5', '54', '36035804'),
('56', '23', '71653372'),
('2', '87', '65712707'),
('6', '85', '89709308'),
('63', '90', '77766782'),
('36', '98', '80565592'),
('97', '37', '94593471'),
('91', '91', '50356994'),
('36', '81', '29144899'),
('97', '81', '22301547'),
('99', '67', '12102813'),
('63', '50', '14511439'),
('55', '34', '64272968'),
('56', '76', '52525765'),
('71', '24', '96076732'),
('28', '79', '96516007'),
('7', '31', '32320863'),
('66', '92', '38837992'),
('1', '61', '99296485'),
('50', '41', '61274971'),
('77', '98', '24944962'),
('24', '60', '49261011'),
('4', '61', '96839229'),
('74', '75', '29042309'),
('16', '13', '56304849'),
('41', '71', '29268851'),
('33', '40', '52288641'),
('18', '82', '40138102'),
('8', '23', '69403803'),
('88', '7', '90249792'),
('10', '43', '79013839'),
('88', '4', '36794556'),
('2', '54', '17349438'),
('58', '96', '99471456'),
('66', '39', '97938495'),
('51', '90', '93451059'),
('95', '70', '24088210'),
('36', '29', '59144114'),
('43', '71', '73128701'),
('26', '18', '95505516'),
('29', '59', '26050933'),
('79', '81', '85371369'),
('33', '12', '27071988'),
('83', '35', '59316114'),
('22', '32', '49559540'),
('7', '16', '65775402'),
('17', '89', '45309673'),
('77', '52', '85688790'),
('24', '60', '22568318'),
('24', '54', '70854670'),
('62', '38', '38006843'),
('75', '28', '90518384'),
('82', '94', '38813121'),
('49', '84', '85627230'),
('33', '40', '86667951'),
('76', '28', '38385507'),
('5', '36', '43627507'),
('76', '28', '82736055'),
('68', '62', '73910887'),
('73', '42', '24470981'),
('19', '53', '50393062'),
('10', '81', '93421699'),
('45', '80', '12251882'),
('86', '56', '75637703'),
('25', '31', '14694196'),
('1', '99', '29499317'),
('98', '7', '63670732'),
('24', '67', '93625463'),
('8', '45', '20316118'),
('41', '85', '42735436'),
('27', '9', '42877587'),
('69', '39', '85008820'),
('48', '34', '75865069'),
('16', '44', '23307608'),
('64', '36', '18076025'),
('47', '52', '61283188'),
('97', '83', '91148736'),
('17', '58', '22593215'),
('11', '74', '69005858'),
('37', '61', '27993761'),
('63', '12', '53749219'),
('89', '16', '48246524'),
('4', '27', '79858669'),
('31', '69', '12300608'),
('6', '48', '31386630'),
('10', '98', '54818840'),
('34', '91', '48016558'),
('75', '10', '37266858'),
('35', '23', '47325511'),
('79', '16', '61330009'),
('76', '69', '52286832'),
('32', '82', '98133195'),
('22', '43', '25707201'),
('69', '67', '25758294'),
('23', '16', '28365445'),
('87', '48', '70077077'),
('81', '1', '77023708'),
('36', '59', '49431161'),
('58', '99', '12217954'),
('33', '20', '96907646'),
('58', '17', '19913262'),
('96', '32', '46333046'),
('52', '54', '42501860'),
('59', '61', '91313712'),
('67', '92', '84768493'),
('84', '56', '47785163'),
('22', '12', '65295473'),
('22', '25', '46098391'),
('58', '49', '38650159'),
('5', '99', '52437467'),
('22', '2', '90192608'),
('36', '34', '34913645'),
('39', '17', '14675453'),
('51', '26', '46419420'),
('57', '11', '53243247'),
('2', '43', '28777257'),
('78', '88', '68168213'),
('73', '6', '12913728'),
('57', '20', '58110433'),
('16', '96', '74121916'),
('59', '52', '53091119'),
('5', '74', '82512741'),
('22', '17', '58783139'),
('32', '29', '81769089'),
('96', '66', '80405407'),
('69', '21', '43006806'),
('15', '91', '77615866'),
('14', '47', '17078540'),
('86', '50', '27995968'),
('57', '45', '83145235'),
('53', '61', '44983402'),
('34', '34', '49489614'),
('46', '33', '15668105'),
('10', '98', '50862837'),
('62', '8', '34434640'),
('72', '27', '97180191'),
('66', '91', '93327417'),
('26', '79', '84673745'),
('99', '61', '77885936'),
('14', '79', '28980951'),
('98', '36', '98112034'),
('42', '3', '74130343'),
('90', '20', '28957700'),
('27', '94', '30020562'),
('52', '65', '74270850'),
('71', '94', '76953661'),
('29', '21', '15636041'),
('53', '84', '29021490'),
('63', '65', '40240345'),
('76', '58', '49965797'),
